Date;PCR
2020-06-02 00:00:00;1.41
2020-06-03 00:00:00;1.08
2020-06-04 00:00:00;1.76
2020-06-05 00:00:00;1.05
2020-06-08 00:00:00;1.07
2020-06-09 00:00:00;1.97
2020-06-10 00:00:00;1.38
2020-06-11 00:00:00;2.15
2020-06-12 00:00:00;1.89
2020-06-15 00:00:00;1.52
2020-06-16 00:00:00;1.57
2020-06-17 00:00:00;1.61
2020-06-18 00:00:00;2.02
2020-06-19 00:00:00;2
2020-06-22 00:00:00;1.97
2020-06-23 00:00:00;2.01
2020-06-24 00:00:00;1.47
2020-06-25 00:00:00;1.73
2020-06-26 00:00:00;1.74
2020-06-29 00:00:00;1.93
2020-06-30 00:00:00;1.57
2020-07-01 00:00:00;1.6
2020-07-02 00:00:00;1.73
2020-07-06 00:00:00;1.8
2020-07-07 00:00:00;2.01
2020-07-08 00:00:00;1.74
2020-07-09 00:00:00;1.83
2020-07-10 00:00:00;1.73
2020-07-13 00:00:00;1.73
2020-07-14 00:00:00;1.74
2020-07-15 00:00:00;1.28
2020-07-16 00:00:00;1.6
2020-07-17 00:00:00;1.93
2020-07-20 00:00:00;1.32
2020-07-21 00:00:00;1.75
2020-07-22 00:00:00;1.6
2020-07-23 00:00:00;2.09
2020-07-24 00:00:00;1.67
2020-07-27 00:00:00;1.68
2020-07-28 00:00:00;1.83
2020-07-29 00:00:00;1.47
2020-07-30 00:00:00;1.52
2020-07-31 00:00:00;1.68
2020-08-03 00:00:00;1.55
2020-08-04 00:00:00;1.76
2020-08-05 00:00:00;1.36
2020-08-06 00:00:00;1.6
2020-08-07 00:00:00;1.79
2020-08-10 00:00:00;1.66
2020-08-11 00:00:00;1.93
2020-08-12 00:00:00;1.57
2020-08-13 00:00:00;1.89
2020-08-14 00:00:00;1.68
2020-08-17 00:00:00;1.51
2020-08-18 00:00:00;1.64
2020-08-19 00:00:00;1.79
2020-08-20 00:00:00;1.61
2020-08-21 00:00:00;1.64
2020-08-24 00:00:00;1.76
2020-08-25 00:00:00;1.46
2020-08-26 00:00:00;1.11
2020-08-27 00:00:00;1.32
2020-08-28 00:00:00;1.66
2020-08-31 00:00:00;1.73
2020-09-01 00:00:00;1.61
2020-09-02 00:00:00;1.43
2020-09-03 00:00:00;1.75
2020-09-04 00:00:00;1.79
2020-09-08 00:00:00;1.74
2020-09-09 00:00:00;1.52
2020-09-10 00:00:00;1.37
2020-09-11 00:00:00;1.58
2020-09-14 00:00:00;1.77
